NMEA message,PGHP time stamp
"!BSVDM,1,1,,B,B3@nhbh008>L2``15GcQ3woUoP06,0*4F","$PGHP,1,2018,11,19,12,56,47,936,219,,2190047,1,*1C"
"!BSVDM,1,1,,B,H3@nhbhp4tlT000000000000000,2*31","$PGHP,1,2018,11,19,12,58,5,108,219,,2190047,1,*21"
"!BSVDM,1,1,,B,H3@nhblUC=D4gUTH@4jkom000000,0*0D","$PGHP,1,2018,11,19,12,58,16,652,219,,2190047,1,*1B"
"!BSVDM,1,1,,A,B3@nhbh008>L2a815GSQ3woUoP06,0*25","$PGHP,1,2018,11,19,12,59,47,163,219,,2190047,1,*1B"
"!BSVDM,1,1,,A,33@nii001A0qpkHOpb:AFA=J012i,0*7F","$PGHP,1,2018,11,19,11,11,45,322,219,,2190047,1,*11"
"!BSVDM,1,1,,A,33@nii0OiC0qpq<OpbiiEQ=`010P,0*4D","$PGHP,1,2018,11,19,11,11,52,436,219,,2190051,1,*12"
"!BSVDM,1,1,,B,33@nii00190qpqnOpbnQFi=d015Q,0*45","$PGHP,1,2018,11,19,11,11,54,729,219,,2190051,1,*19"
"!BSVDM,2,1,7,B,53@nii01>psluPlb220<58thTpF1>222222222163h7536qg05B1C4jC,0*7C!BSVDM,2,2,7,B,QkiD`8888888880,2*76","$PGHP,1,2018,11,19,11,11,55,322,219,,2190047,1,*10"
"!BSVDM,1,1,,A,33@nii0P@q0qptrOpc<A?i=n0000,0*53","$PGHP,1,2018,11,19,11,11,59,315,219,,2190047,1,*18"
"!BSVDM,1,1,,B,33@nii00120qpw:OpcLi3A<4012P,0*0D","$PGHP,1,2018,11,19,11,12,2,139,219,,2190051,1,*2E"
"!BSVDM,1,1,,A,13@nii0Oi70qpwbOpcQA7i@:0<1b,0*21","$PGHP,1,2018,11,19,11,12,5,883,219,,2190047,1,*26"
"!BSVDM,1,1,,B,33@nii0Oi:0qq2fOpcmi@i@B0000,0*29","$PGHP,1,2018,11,19,11,12,9,237,219,,2190047,1,*2F"
"!BSVDM,1,1,,B,13@nii0Oi00qq5nOpd:A71FP00RV,0*69","$PGHP,1,2018,11,19,11,12,16,631,219,,2190047,1,*13"
"!BSVDM,1,1,,A,13@nii00100qq<6OpdkAWQFh0<1c,0*2F","$PGHP,1,2018,11,19,11,12,24,962,219,,2190047,1,*1B"
"!BSVDM,1,1,,B,13@nii0PA30qqBHOpeGQMA?608Dj,0*57","$PGHP,1,2018,11,19,11,12,35,476,219,,2190048,1,*1C"
"!BSVDM,1,1,,A,33@nii0PA<0qqHbOpeuiK11J014A,0*25","$PGHP,1,2018,11,19,11,12,45,320,219,,2190048,1,*1F"
"!BSVDM,1,1,,A,33@nii0PA<0qqMFOpfTQCPq`00w0,0*2E","$PGHP,1,2018,11,19,11,12,52,589,219,,2190047,1,*13"
"!BSVDM,1,1,,B,33@nii0PA:0qqMrOpf`A50od016A,0*06","$PGHP,1,2018,11,19,11,12,54,727,219,,2190051,1,*14"
"!BSVDM,1,1,,A,33@nii0PA=0qqP6Opfvhn@kn0000,0*37","$PGHP,1,2018,11,19,11,12,59,313,219,,2190047,1,*1D"
"!BSVDM,1,1,,B,33@nii0PA>0qqP6OpfvhoPf200u0,0*32","$PGHP,1,2018,11,19,11,13,2,215,219,,2190047,1,*25"
"!BSVDM,1,1,,A,33@nii0PA>0qqRBOpgF0o0d:00rA,0*32","$PGHP,1,2018,11,19,11,13,5,865,219,,2190047,1,*2F"
"!BSVDM,1,1,,B,33@nii0PAA0qqT@OpgePfP`@0000,0*2D","$PGHP,1,2018,11,19,11,13,8,720,219,,2190048,1,*23"
"!BSVDM,1,1,,A,33@nii0PAC0qqT@OpgePd0RF0130,0*78","$PGHP,1,2018,11,19,11,13,12,89,219,,2190047,1,*23"
"!BSVDM,1,1,,B,33@nii0PA30qqUvOph5PE0NN00tQ,0*71","$PGHP,1,2018,11,19,11,13,15,662,219,,2190047,1,*17"
"!BSVDM,1,1,,A,33@nii0PA=0qqWHOphNPK@JT0000,0*7E","$PGHP,1,2018,11,19,11,13,19,234,219,,2190047,1,*1C"
"!BSVDM,1,1,,B,33@nii0PAA0qqWHOphNP3@Hb013h,0*17","$PGHP,1,2018,11,19,11,13,22,120,219,,2190047,1,*12"
"!BSVDM,1,1,,A,33@nii0P@v0qq`NOphp0V@Fh014A,0*02","$PGHP,1,2018,11,19,11,13,24,959,219,,2190047,1,*12"
"!BSVDM,1,1,,B,33@nii0PA50qqaPOpiA0;@Bp0000,0*69","$PGHP,1,2018,11,19,11,13,29,343,219,,2190047,1,*1E"
"!BSVDM,1,1,,A,33@nii0PA;0qqaPOpiA0KPBv00v0,0*44","$PGHP,1,2018,11,19,11,13,32,245,219,,2190047,1,*13"
"!BSVDM,1,1,,B,33@nii001?0qqb>Opic@D0A40131,0*07","$PGHP,1,2018,11,19,11,13,35,474,219,,2190048,1,*1F"
"!BSVDM,1,1,,A,33@nii0PA70qqbnOpj5@=hA>0000,0*31","$PGHP,1,2018,11,19,11,13,38,859,219,,2190047,1,*1E"
"!BSVDM,1,1,,B,33@nii001>0qqcDOpjOh2@AF00qP,0*2C","$PGHP,1,2018,11,19,11,13,42,619,219,,2190047,1,*19"
"!BSVDM,1,1,,A,33@nii00100qqcDOpjOh80AJ0111,0*77","$PGHP,1,2018,11,19,11,13,45,318,219,,2190048,1,*15"
"!BSVDM,1,1,,B,33@nii00190qqctOpjr05PCR0000,0*5E","$PGHP,1,2018,11,19,11,13,48,750,219,,2190048,1,*10"
"!BSVDM,1,1,,A,33@nii0PA80qqdPOpk>ev0A`00w@,0*53","$PGHP,1,2018,11,19,11,13,52,244,219,,2190047,1,*14"
"!BSVDM,1,1,,B,13@nii00160qqdFOpkCh:hAf00T0,0*6B","$PGHP,1,2018,11,19,11,13,54,724,219,,2190047,1,*11"
"!BSVDM,1,1,,A,33@nii0PA<0qqdpOpkfeph?n0000,0*36","$PGHP,1,2018,11,19,11,13,58,999,219,,2190047,1,*15"
"!BSVDM,1,1,,A,13@nii00110qqe:Opl7h7@@<05Hp,0*46","$PGHP,1,2018,11,19,11,14,5,878,219,,2190047,1,*24"
"!BSVDM,1,1,,B,13@nii001;0qqeNOplsMs@@N0@9;,0*23","$PGHP,1,2018,11,19,11,14,15,660,219,,2190047,1,*12"
"!BSVDM,1,1,,A,13@nii0Oi50qqf@Opmf0OhDj05Hp,0*16","$PGHP,1,2018,11,19,11,14,24,973,219,,2190047,1,*1D"
"!BSVDM,1,1,,B,13@nii001C0qqftOpnR0c@E600S2,0*42","$PGHP,1,2018,11,19,11,14,35,472,219,,2190047,1,*11"
"!BSVDM,1,1,,A,13@nii0P@v0qqgdOpoDh2hAJ0@JS,0*32","$PGHP,1,2018,11,19,11,14,45,315,219,,2190047,1,*10"
"!BSVDM,1,1,,B,13@nii001:0qqhbOpp7@APEh0L1d,0*0C","$PGHP,1,2018,11,19,11,14,56,173,219,,2190047,1,*10"
"!BSVDM,1,1,,A,13@nii0PA;0qqiHOppq@Vh<:00S9,0*34","$PGHP,1,2018,11,19,11,15,5,876,219,,2190047,1,*2B"
"!BSVDM,1,1,,B,13@nii0Oi60qqifOpqcN2@8N0<1d,0*31","$PGHP,1,2018,11,19,11,15,15,673,219,,2190051,1,*16"
"!BSVDM,1,1,,A,13@nii0OiD0qqiLOprMMWh<h00S?,0*1E","$PGHP,1,2018,11,19,11,15,24,971,219,,2190047,1,*1E"
"!BSVDM,1,1,,B,13@nii001:0qqiHOps?uo@;40HDb,0*72","$PGHP,1,2018,11,19,11,15,35,251,219,,2190048,1,*18"
"!BSVDM,1,1,,A,13@nii001:0qqiFOpt2050=H0<1b,0*61","$PGHP,1,2018,11,19,11,15,45,313,219,,2190048,1,*18"
"!BSVDM,1,1,,B,13@nii0Oi90qqiTOptmP2hAf0HPr,0*63","$PGHP,1,2018,11,19,11,15,56,171,219,,2190048,1,*1C"
"!BSVDM,1,1,,A,13@nii0PA>0qqj6Opu`PM0>:0<1b,0*3C","$PGHP,1,2018,11,19,11,16,5,843,219,,2190048,1,*21"
"!BSVDM,1,1,,B,13@nii0PAS0qqjLOpvL@0@>P089;,0*25","$PGHP,1,2018,11,19,11,16,15,655,219,,2190048,1,*19"
"!BSVDM,1,1,,A,13@nii0Oi90qqj`Opw?hVh>j0D1`,0*56","$PGHP,1,2018,11,19,11,16,25,109,219,,2190047,1,*1B"
"!BSVDM,1,1,,B,13@nii0PAF0qqk2Oq02hW@;60D1a,0*74","$PGHP,1,2018,11,19,11,16,35,264,219,,2190048,1,*1D"
"!BSVDM,1,1,,A,13@nii0PAC0qqjHOq0n@2h3J08JS,0*71","$PGHP,1,2018,11,19,11,16,45,311,219,,2190048,1,*19"
"!BSVDM,1,1,,B,13@nii0OiH0qqi>Oq1VM<01h0D1a,0*4C","$PGHP,1,2018,11,19,11,16,56,168,219,,2190047,1,*18"
"!BSVDM,1,1,,A,13@nii0Oi=0qqhDOq2FejP@:083K,0*3B","$PGHP,1,2018,11,19,11,17,5,856,219,,2190048,1,*24"
"!BSVDM,1,1,,B,33@nii0Oi>0qqhNOq38=shDN00wA,0*03","$PGHP,1,2018,11,19,11,17,15,668,219,,2190047,1,*19"
"!BSVDM,1,1,,B,33@nii001=0qqhjOq3letPDd00u0,0*69","$PGHP,1,2018,11,19,11,17,22,408,219,,2190047,1,*19"
